Time,Ticker,Order,T,Shares,Price,MPID,X
29482649,IBM,1970210,B,50,1780000,,Q
29487763,IBM,1971094,S,100,1819000,,Q
29713562,IBM,1971094,D,0,0,,Q
29713562,IBM,2028726,S,100,1817500,,Q
30304681,IBM,2197382,S,100,1999999900,TRIM,Q
30304681,IBM,2197383,B,100,100,TRIM,Q
30347310,IBM,2213769,B,200,1801100,,Q
30735780,IBM,1750431,D,0,0,,Q
30931430,IBM,2616726,B,100,1496100,MSCO,Q
30931430,IBM,2616728,S,100,2132300,MSCO,Q
31492522,IBM,2857759,B,100,1770000,,Q
31577895,IBM,2857759,D,0,0,,Q
31577899,IBM,2903388,B,100,1775000,,Q
31613795,IBM,2928645,S,500,1813800,,Q
31637190,IBM,2928645,F,0,0,,Q
31719863,IBM,2985036,S,100,1815000,,Q
31722519,IBM,2985036,F,0,0,,Q
31722519,IBM,0,T,100,1815000,,Q
31722519,IBM,2986182,S,100,1815000,,Q
31722520,IBM,2986182,F,0,0,,Q
31722520,IBM,2986185,S,100,1815000,,Q
31763175,IBM,2986185,D,0,0,,Q
31839973,IBM,3029258,B,100,10000,,Q
31854861,IBM,3029258,D,0,0,,Q
31969930,IBM,3081226,S,100,1815000,,Q
31987001,IBM,3086687,S,100,1816800,,Q
32068371,IBM,3081226,E,83,0,,Q
32068372,IBM,3128144,S,100,1815000,,Q
32068383,IBM,3081226,E,13,0,,Q
32148893,IBM,3161236,S,100,1863000,,Q
32251779,IBM,2903388,D,0,0,,Q
32251782,IBM,3197670,B,100,1750000,,Q
32438957,IBM,3297359,B,100,100,,Q
32440653,IBM,3297359,D,0,0,,Q
32558954,IBM,3128144,D,0,0,,Q
32558954,IBM,3081226,D,0,0,,Q
32705299,IBM,3444843,B,500,1812000,,Q
32720168,IBM,3451991,S,500,1832500,,Q
32802861,IBM,3161236,D,0,0,,Q
32802864,IBM,3496762,S,100,1833000,,Q
33260884,IBM,3780226,B,100,1468200,FBCO,Q
33260885,IBM,3780227,S,100,2158700,FBCO,Q
33332879,IBM,3843449,B,100,1450100,MSCO,Q
33332879,IBM,3843452,S,100,2176600,MSCO,Q
33407822,IBM,3906372,S,72,1813000,,Q
33444450,IBM,3906372,F,0,0,,Q
33490797,IBM,3986060,S,100,1813500,,Q
33498670,IBM,3444843,F,0,0,,Q
33517751,IBM,4011453,S,300,1813000,,Q
33553726,IBM,4044793,S,200,1811900,,Q
33585167,IBM,4070856,S,75,1814700,,Q
33650676,IBM,4142508,B,55,1805500,,Q
33659238,IBM,4150240,B,500,1793300,,Q
33659238,IBM,4150241,B,100,1757500,,Q
33659238,IBM,4150242,B,1400,1757500,,Q
33659238,IBM,4150244,S,500,1818200,,Q
33659239,IBM,4150246,S,100,1861700,,Q
33659239,IBM,4150247,S,1400,1861700,,Q
33660242,IBM,4150240,D,0,0,,Q
33660243,IBM,4150244,D,0,0,,Q
33660739,IBM,4150241,D,0,0,,Q
33660739,IBM,4150246,D,0,0,,Q
33660739,IBM,4150242,D,0,0,,Q
33660739,IBM,4150247,D,0,0,,Q
33703550,IBM,4194963,B,100,1749900,IMCC,Q
33703550,IBM,4194964,S,100,1869800,IMCC,Q
33714779,IBM,4213605,S,100,1810500,,Q
33743772,IBM,4248910,B,200,1801800,,Q
33841650,IBM,4367392,B,50,1710600,,Q
33878782,IBM,4499306,S,50,1810000,,Q
33883789,IBM,4499306,D,0,0,,Q
33883793,IBM,4509437,S,50,1810000,,Q
33904149,IBM,4607888,S,100,1999999900,BARD,Q
33958665,IBM,4795095,S,100,1812000,,Q
33982122,IBM,4860104,B,100,1803700,,Q
33984929,IBM,4860104,D,0,0,,Q
34010237,IBM,3451991,D,0,0,,Q
34030495,IBM,4987735,B,500,1802000,,Q
34045999,IBM,5047829,S,500,1822500,,Q
34054930,IBM,5109497,B,55,1809300,,Q
34074885,IBM,5109497,F,0,0,,Q
34082486,IBM,5290984,B,100,1487300,GSCO,Q
34082486,IBM,5290985,S,100,2141600,GSCO,Q
34086632,IBM,4795095,D,0,0,,Q
34089729,IBM,4070856,D,0,0,,Q
34089730,IBM,5324124,S,130,1814700,,Q
34095054,IBM,0,T,1,1805600,,Q
34095054,IBM,0,T,1,1805600,,Q
34119637,IBM,5434046,S,100,1881500,SUSQ,Q
34119637,IBM,5434047,S,100,1926700,SUSQ,Q
34119637,IBM,5434049,B,100,1735700,SUSQ,Q
34119637,IBM,5434050,B,100,1690500,SUSQ,Q
34125674,IBM,5460883,S,100,1880500,SUFI,Q
34125674,IBM,5460885,S,100,1925700,SUFI,Q
34125674,IBM,5460886,B,100,1735300,SUFI,Q
34125674,IBM,5460887,B,100,1690100,SUFI,Q
34134268,IBM,5491466,B,100,1446200,SOHO,Q
34134268,IBM,5491470,S,100,2169700,SOHO,Q
34134669,IBM,0,T,2,1808000,,Q
34138546,IBM,5506690,B,500,1793300,,Q
34138547,IBM,5506694,B,100,1756700,,Q
34138547,IBM,5506695,B,1400,1756700,,Q
34138547,IBM,5506700,S,500,1820700,,Q
34138548,IBM,5506701,S,1400,1864200,,Q
34138548,IBM,5506702,S,100,1864200,,Q
34139547,IBM,5506690,D,0,0,,Q
34139547,IBM,5506700,D,0,0,,Q
34140045,IBM,5506694,D,0,0,,Q
34140046,IBM,5506695,D,0,0,,Q
34140046,IBM,5506702,D,0,0,,Q
34140046,IBM,5506701,D,0,0,,Q
34140195,IBM,5516510,S,1000,1824900,,Q
34146641,IBM,5539995,B,100,1791100,,Q
34162394,IBM,5591973,B,100,1445600,ETMM,Q
